Record Category,Record Category (input),Filter Yes = Include No = Don't Include,Description
Criminal/traffic,criminal_traffic,Yes,Criminal records and traffic infractions
Sex Offender,sex_offender,Yes,Sex Offender Registry data
Patriot,patriot,Yes,"International and National Lists covering but not limited to watchlists, registries and sanctions"
Arrest,arrest,Yes,Arrest records from jails and police departments
Warrant,warrant,Yes,Warrants are court issues documents that authorize a specific action.
